CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 09:00:13 +0000 2014,4.87E+17,"Ex-Gitmo inmate, who pleaded guilty to killing a US soldier, to be transferred to a provincial jail in Canada: http://t.co/QJbuYgggUg","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,10,5,,,http://t.co/QJbuYgggUg,http://abcn.ws/1qg9fI3,133,,,,,,,,FALSE,FALSE,FALSE,en,0,134
Wed Jul 09 09:00:13 +0000 2014,4.87E+17,"Ex-Gitmo inmate, who pleaded guilty to killing a US soldier, to be transferred to a provincial jail in Canada: http://t.co/QJbuYgggUg","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,10,5,,,http://t.co/QJbuYgggUg,http://abcn.ws/1qg9fI3,133,,,,,,,,FALSE,FALSE,FALSE,en,0,134
Wed Jul 09 07:26:21 +0000 2014,4.87E+17,RT @MuhammadLila: UN:  Civilian casualties up by 25% in #AFG so far in 2014.  Approx 5000 killed or injured.  Most casualties from ground c?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,kaushy,,,28785486,ABC,,,,,,,,,,,25,0,AFG,,,,,,,,,MuhammadLila,Muhammad Lila,26059158,FALSE,FALSE,,en,0,134
Wed Jul 09 07:26:21 +0000 2014,4.87E+17,RT @MuhammadLila: UN:  Civilian casualties up by 25% in #AFG so far in 2014.  Approx 5000 killed or injured.  Most casualties from ground c?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,dghd,,28785486,ABC,,,,,,,,,,,22,0,AFG,,,,,,,,,MuhammadLila,Muhammad Lila,26059158,FALSE,FALSE,,en,0,134
Wed Jul 09 07:00:07 +0000 2014,4.87E+17,Vials of smallpox found in US lab unapproved to handle the deadly pathogen: http://t.co/U3taALG52s http://t.co/2lZLYGPHq8,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,78,39,,,http://t.co/U3taALG52s,http://abcn.ws/1qHa5zC,98,121,http://pbs.twimg.com/media/BsCU1VnCAAA4yDQ.png,http://t.co/2lZLYGPHq8,photo,,,,FALSE,FALSE,FALSE,en,1,121
Wed Jul 09 06:17:57 +0000 2014,4.87E+17,George Clooney slams tabloid report of mother-in-law's objections http://t.co/dqBwn3b35P,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,17,13,,,http://t.co/dqBwn3b35P,http://abcn.ws/1jd6SXq,88,,,,,,,,FALSE,FALSE,FALSE,en,0,88
Wed Jul 09 05:33:28 +0000 2014,4.87E+17,"RT @ABCNewsLive: Air raid sirens sounding in Tel Aviv, IDF says.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,73,0,,,,,,,,,,ABCNewsLive,ABC News Live,384438102,FALSE,FALSE,,en,0,64
Wed Jul 09 05:30:09 +0000 2014,4.87E+17,"Father: Mom who left baby at subway stop saw boyfriend shot to death: ""I think that burden was still with her"" - http://t.co/DU3ZmU0ykc","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,34,14,,,http://t.co/DU3ZmU0ykc,http://abcn.ws/1jckuCi,135,,,,,,,,FALSE,FALSE,FALSE,en,1,134
Wed Jul 09 05:00:14 +0000 2014,4.87E+17,UN officials pushing for many Central Americans fleeing to the US to be treated as refugees: http://t.co/N70XbXDOZC,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,40,22,,,http://t.co/N70XbXDOZC,http://abcn.ws/1srTL4S,115,,,,,,,,FALSE,FALSE,FALSE,en,0,115
Wed Jul 09 04:30:12 +0000 2014,4.87E+17,Harry Potter is back: http://t.co/k0xcPSV0WY,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,,,,28785486,ABC,,,,,,,,,,,137,116,,,http://t.co/k0xcPSV0WY,http://abcn.ws/1ox3lAR,44,,,,,,,,FALSE,FALSE,FALSE,en,1,44
