CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Tue Jul 22 19:22:03 +0000 2014,491664487858991104,"FBI  ""monitoring"" NYPD chokehold death investigation: http://t.co/xlG4pwNrFL - @JoshMargolin / @currycolleen http://t.co/pf6YLO28E9","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,55,15,,,http://t.co/xlG4pwNrFL,http://abcn.ws/1roV9GC,76,131,http://pbs.twimg.com/media/BtK-PowCUAAr52U.png,http://t.co/pf6YLO28E9,photo,currycolleen,Colleen Curry,18197316,false,false,false,en,1,134
Tue Jul 22 19:15:15 +0000 2014,491662775715102720,RT @KiritRadia: One of the signs placed on the road leading to #MH17 crash site. Written in English for all the intl press that pass http:/?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,40,0,MH17,,,,,140,http://pbs.twimg.com/media/BtK7jO1IUAEkaXG.jpg,http://t.co/ANY6zguQCD,photo,KiritRadia,Kirit Radia,62849256,false,false,false,en,1,134
Tue Jul 22 18:15:12 +0000 2014,491647667307417600,"""The hospital was just hit again by [an Israeli] tank shell"" - Inside a chaotic Gaza hospital: http://t.co/DZa3Ovo5KE http://t.co/ZSq84qV4TI","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,219,53,,,http://t.co/DZa3Ovo5KE,http://abcn.ws/1loaAJc,117,140,http://pbs.twimg.com/media/BtHhWykCQAAkmam.jpg,http://t.co/ZSq84qV4TI,photo,,,,false,false,false,en,1,134
Tue Jul 22 17:55:13 +0000 2014,491642635870683136,OSCE: Major pieces at front of Flight MH17 plane appear cut away; investigators observed use of power tools: http://t.co/0X0lSlzq6Q,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,42,16,,,http://t.co/0X0lSlzq6Q,http://abcn.ws/1sKImQR,131,,,,,,,,false,false,false,en,1,134
Tue Jul 22 17:36:31 +0000 2014,491637931191173120,"RT @ABCNewsLive: Updated list of airlines suspending flights to Tel Aviv: 

Delta
United
American / US Airways 
KLM
Lufthansa
Air France - ?","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,183,0,,,,,,,,,,ABCaviation,Matthew Hosford,22505954,false,false,,en,1,134
Tue Jul 22 17:32:37 +0000 2014,491636947689824256,Inside the elaborate Gaza tunnels that Israel is working to destroy: http://t.co/tTgxosAB4s - @GGGeetika http://t.co/AG34V2VNMJ,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,141,62,,,http://t.co/tTgxosAB4s,http://abcn.ws/1kQe1sk,91,127,http://pbs.twimg.com/media/BtKlMsoCEAAKHo1.jpg,http://t.co/AG34V2VNMJ,photo,GGGeetika,Geetika Rudra,23324687,false,false,false,en,1,127
Tue Jul 22 17:16:04 +0000 2014,491632782477492226,"Luftansa cancels all flights to and from Tel Aviv, Israel, for next 2 days - @ABCaviation","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,70,30,,,,,,,,,,ABCaviation,Matthew Hosford,22505954,false,false,,en,1,89
Tue Jul 22 17:15:39 +0000 2014,491632678773346304,RT @KiritRadia: Spent the day at a wheat field a few miles from main #MH17 crash site. It was littered with debris. Totally unguarded http:?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,85,0,MH17,,,,,140,http://pbs.twimg.com/media/BtKg8_CIMAAYOrb.jpg,http://t.co/gck8SwRlS3,photo,KiritRadia,Kirit Radia,62849256,false,false,false,en,1,134
Tue Jul 22 17:14:02 +0000 2014,491632273934909440,UPDATE: FAA orders US airlines not to fly to or from Israel's Ben Gurion Airport: http://t.co/cMrVU2IFoO http://t.co/083klIfMoL,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,117,33,,,http://t.co/cMrVU2IFoO,http://abcn.ws/1mAlMCg,104,127,http://pbs.twimg.com/media/BtKg8iCCcAEmRr1.png,http://t.co/083klIfMoL,photo,,,,false,false,false,en,1,127
Tue Jul 22 16:47:08 +0000 2014,491625504684785664,NTSB deploys senior records investigator to Ukraine to provide assistance with analyzing Flight MH17 black boxes - @ABCaviation,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,33,12,,,,,,,,,,ABCaviation,Matthew Hosford,22505954,false,false,,en,1,127
